Date,Team,Possession ,Shots,On target,Off target,Goals Scored,Goals Against
7/9/2014,Republic of Ireland,54,7,3,4,2,1
11/10/2014,Republic of Ireland,65,19,14,5,7,0
14/10/2014,Republic of Ireland,37,2,2,0,1,1
14/11/2014,Republic of Ireland,44,7,4,3,0,1
29/3/2015,Republic of Ireland,55,10,2,8,1,1
13/6/2015,Republic of Ireland,50,8,6,2,1,1
4/9/2015,Republic of Ireland,60,17,9,8,4,0
7/9/2015,Republic of Ireland,50,11,7,4,1,0
8/10/2015,Republic of Ireland,33,4,2,2,1,0
11/10/2015,Republic of Ireland,45,5,3,2,1,2
